   alpha prod. cross sec. (mb)=5.591E-05 ;multiplicity=3.669E-05 ;av. energy (MeV)=1.169E+01 ;kerma co. (fGym^2) =0.000E+00
   gamma prod. cross sec. (mb)=3.351E+00 ;multiplicity=2.199E+00 ;av. energy (MeV)=5.171E-01 ;kerma co. (fGym^2) =0.000E+00
******************************** ENERGY DEPOSITION SUMMARY ****************************************************************
Average fraction of incident energy transferred to secondary ejectiles per nonelastic reaction:
neut.=2.04E-01; prot.=1.40E-07; deut.=0.00E+00; trit.=0.00E+00; alph.=7.15E-05; gamm.=1.90E-01; A>5 recoils=5.80E-03
***************************************************************************************************************************

+++++++++++++++++++++++++++++++++++++++   7-MeV  protons incident on 208Pb ++++++++++++++++++++++++++++++++++++++++++++++++

Cross section summary information for   7-MeV reactions on 208Pb:
Nonelastic cross section = 1.104E+01 mb
  
                         7-MeV  protons incident on 208Pb
                        Emission spectrum of  *neutrons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 3.2E-01 3.1E-01 3.1E-01 3.1E-01 3.1E-01 3.1E-01 3.0E-01 3.0E-01 3.0E-01 3.0E-01 3.0E-01 3.1E-01 3.1E-01   3.8E+00
 1.5- 2.5 2.5E-01 2.5E-01 2.5E-01 2.5E-01 2.5E-01 2.4E-01 2.4E-01 2.4E-01 2.4E-01 2.4E-01 2.4E-01 2.5E-01 2.5E-01   3.0E+00
 2.5- 3.5 2.0E-01 2.0E-01 2.0E-01 1.9E-01 1.9E-01 1.9E-01 1.8E-01 1.8E-01 1.7E-01 1.7E-01 1.7E-01 1.7E-01 1.7E-01   2.2E+00
 3.5- 4.5 6.1E-03 6.0E-03 5.8E-03 5.5E-03 5.1E-03 4.6E-03 4.1E-03 3.6E-03 2.7E-03 2.0E-03 1.4E-03 1.1E-03 9.2E-04   3.7E-02
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                           neutron production cross section (mb) =1.103E+01
                                                                           neutron multiplicity (dimensionless)  =9.991E-01
                                                                           neutron average energy (MeV)          =1.624E+00
  
                         7-MeV  protons incident on 208Pb
                        Emission spectrum of   *protons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 1.5- 2.5 5.2E-10 5.2E-10 5.3E-10 5.3E-10 5.4E-10 5.5E-10 5.6E-10 5.8E-10 6.2E-10 6.7E-10 7.3E-10 7.8E-10 8.1E-10   8.0E-09
 2.5- 3.5 1.9E-08 1.9E-08 1.9E-08 1.9E-08 1.9E-08 1.9E-08 1.9E-08 2.0E-08 2.0E-08 2.1E-08 2.2E-08 2.3E-08 2.4E-08   2.6E-07
