
+++++++++++++++++++++++ 1H(n,p)n at En = 10.0 MeV +++++++++++++++++++++++
-------------------------------------------------------------------------
 ANGLE-p    ENERGY-p   DIFF. X/S-p      ANGLE-n    ENERGY-n   DIFF. X/S-n
 (deg)       (MeV)       (mb/sr)        (deg)       (MeV)       (mb/sr)
---------   ---------   ---------      ---------   ---------   ---------
2.466E+01   4.928E+01   4.083E+01      6.457E+01   1.072E+01   1.855E+01
1.971E+01   5.298E+01   4.644E+01      6.960E+01   7.019E+00   1.641E+01
1.478E+01   5.598E+01   5.309E+01      7.463E+01   4.019E+00   1.380E+01
9.847E+00   5.819E+01   6.102E+01      7.962E+01   1.809E+00   1.053E+01
4.922E+00   5.954E+01   6.859E+01      8.448E+01   4.557E-01   6.285E+00
0.000E+00   6.000E+01   7.190E+01      9.000E+01   0.000E+00   0.000E+00
-------------------------------------------------------------------------
elastic cross section (mb)  = 1.336E+02
proton average energy (MeV) = 3.036E+01
proton kerma (f Gy m^2)     = 3.886E+01

+++++++++++++++++++++++ 1H(n,p)n at En = 70.0 MeV +++++++++++++++++++++++
-------------------------------------------------------------------------
 ANGLE-p    ENERGY-p   DIFF. X/S-p      ANGLE-n    ENERGY-n   DIFF. X/S-n
 (deg)       (MeV)       (mb/sr)        (deg)       (MeV)       (mb/sr)
---------   ---------   ---------      ---------   ---------   ---------
9.000E+01   0.000E+00   0.000E+00      0.000E+00   7.000E+01   5.911E+01
8.491E+01   5.317E-01   4.713E+00      4.906E+00   6.947E+01   5.694E+01
7.982E+01   2.111E+00   8.654E+00      9.816E+00   6.789E+01   5.175E+01
7.474E+01   4.689E+00   1.160E+01      1.473E+01   6.531E+01   4.545E+01
6.966E+01   8.188E+00   1.359E+01      1.965E+01   6.181E+01   3.900E+01
6.460E+01   1.250E+01   1.487E+01      2.458E+01   5.750E+01   3.308E+01
5.954E+01   1.750E+01   1.573E+01      2.953E+01   5.250E+01   2.804E+01
5.451E+01   2.303E+01   1.655E+01      3.448E+01   4.697E+01   2.412E+01
4.948E+01   2.892E+01   1.772E+01      3.945E+01   4.108E+01   2.136E+01
4.447E+01   3.500E+01   1.953E+01      4.444E+01   3.500E+01   1.957E+01
3.948E+01   4.108E+01   2.214E+01      4.944E+01   2.892E+01   1.845E+01
3.451E+01   4.697E+01   2.557E+01      5.445E+01   2.303E+01   1.762E+01
2.955E+01   5.250E+01   2.969E+01      5.948E+01   1.750E+01   1.673E+01
2.460E+01   5.750E+01   3.440E+01      6.451E+01   1.250E+01   1.555E+01
1.967E+01   6.181E+01   3.979E+01      6.956E+01   8.189E+00   1.398E+01
1.474E+01   6.531E+01   4.637E+01      7.459E+01   4.689E+00   1.198E+01
9.822E+00   6.789E+01   5.459E+01      7.960E+01   2.111E+00   9.355E+00
4.910E+00   6.947E+01   6.300E+01      8.447E+01   5.317E-01   5.726E+00
0.000E+00   7.000E+01   6.686E+01      9.000E+01   0.000E+00   0.000E+00
-------------------------------------------------------------------------
elastic cross section (mb)  = 1.113E+02
proton average energy (MeV) = 3.545E+01
proton kerma (f Gy m^2)     = 3.780E+01

+++++++++++++++++++++++ 1H(n,p)n at En = 80.0 MeV +++++++++++++++++++++++
-------------------------------------------------------------------------
